time_sec,newly_buffered_bits,keys_popped_udp,keys_popped_tcp1,keys_popped_tcp2,new_conns_tcp1,new_conns_tcp2,mode2_bytes_on_key_udp,mode2_bytes_on_key_tcp1,mode2_bytes_on_key_tcp2
149,0,0,0,0,0,0,7757736,0,0
150,0,0,0,0,0,0,8837218,0,0
151,0,0,0,0,0,0,9918214,0,0
152,0,2,1,1,0,0,136260,0,0
153,768,0,0,0,0,0,1215742,0,0
154,0,0,0,0,0,0,2296738,0,0
155,0,0,0,0,0,0,3377734,0,0
156,0,0,0,0,0,0,4457216,0,0
157,0,0,0,0,0,0,5538212,0,0
158,0,0,0,0,0,0,6619208,0,0
159,0,0,0,0,0,0,7698690,0,0
160,0,0,0,0,0,0,8779686,0,0
161,0,0,0,0,0,0,9860682,0,0
162,0,2,0,0,0,0,1514,0,0
163,768,0,0,0,0,0,1179406,0,0
164,0,0,0,0,0,0,2258888,0,0
165,0,0,0,0,0,0,3339884,0,0
166,0,0,0,0,0,0,4420880,0,0
167,0,0,0,0,0,0,5500362,0,0
168,0,0,0,0,0,0,6581358,0,0
169,0,0,0,0,0,0,7662354,0,0
170,0,0,0,0,0,0,8741836,0,0
171,0,0,0,0,0,0,9822832,0,0
172,0,2,0,0,0,0,275548,0,0
173,768,0,0,0,0,0,1355030,0,0
174,0,0,0,0,0,0,2436026,0,0
175,0,0,0,0,0,0,3517022,0,0
176,0,0,0,0,0,0,4596504,0,0
177,0,0,0,0,0,0,5677500,0,0
178,0,0,0,0,0,0,6756982,0,0
179,0,0,0,0,0,0,7837978,0,0
180,0,0,0,0,0,0,8918974,0,0
181,0,0,0,0,0,0,9998456,0,0
182,0,2,1,1,0,0,240726,0,0
183,768,0,0,0,0,0,1321722,0,0
184,0,0,0,0,0,0,2402718,0,0
185,0,0,0,0,0,0,3483714,0,0
186,0,0,0,0,0,0,4564710,0,0
187,0,0,0,0,0,0,5644192,0,0
188,0,0,0,0,0,0,6725188,0,0
189,0,0,0,0,0,0,7806184,0,0
190,0,0,0,0,0,0,8885666,0,0
191,0,0,0,0,0,0,9966662,0,0
192,0,2,0,0,0,0,201362,0,0
193,768,0,0,0,0,0,1280844,0,0
194,0,0,0,0,0,0,2361840,0,0
195,0,0,0,0,0,0,3442836,0,0
196,0,0,0,0,0,0,4522318,0,0
197,0,0,0,0,0,0,5603314,0,0
198,0,0,0,0,0,0,6684310,0,0
199,0,0,0,0,0,0,7763792,0,0
200,0,0,0,0,0,0,8844788,0,0
201,0,0,0,0,0,0,9925784,0,0
202,0,2,0,0,0,0,48448,0,0
203,0,0,0,0,0,0,198334,0,0
204,0,0,0,0,0,0,301286,0,0
205,0,0,0,0,0,0,301286,0,0
206,0,0,0,0,0,0,301286,0,0
207,0,0,0,0,0,0,301286,0,0
208,0,0,0,0,0,0,301286,0,0
209,0,0,0,0,0,0,301286,0,0
210,0,0,0,0,0,0,301286,0,0
211,0,0,0,0,0,0,301286,0,0
212,0,0,1,1,0,0,301286,0,0
213,768,0,0,0,0,0,301286,0,0
214,0,0,0,0,0,0,301286,0,0
215,0,0,0,0,0,0,301286,0,0
216,0,0,0,0,0,0,301286,0,0
217,0,0,0,0,0,0,301286,0,0
218,0,0,0,0,0,0,301286,0,0
219,0,0,0,0,0,0,301286,0,0
220,0,0,0,0,0,0,301286,0,0
221,0,0,0,0,0,0,301286,0,0
222,0,0,0,0,0,0,301286,0,0
223,0,0,0,0,0,0,301286,0,0
224,0,0,0,0,0,0,301286,0,0
225,0,0,0,0,0,0,301286,0,0
226,0,0,0,0,0,0,301286,0,0
227,0,0,0,0,0,0,301286,0,0
228,0,0,0,0,0,0,301286,0,0
229,0,0,0,0,0,0,301286,0,0
230,0,0,0,0,0,0,301286,0,0
231,0,0,0,0,0,0,301286,0,0
232,0,0,0,0,0,0,0,0,0
233,0,1,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0
242,0,0,1,1,0,0,0,0,0
243,768,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0
