Time 1-10.45.14.48-10.100.1.205 Aggregate-Flow
0.000000 0.000499 0.000499
0.010000 0.000396 0.000396
0.020000 0.000394 0.000394
0.030000 0.000393 0.000393
0.040000 0.000400 0.000400
0.050000 0.000399 0.000399
0.060000 0.000390 0.000390
0.070000 0.000400 0.000400
0.080000 0.000396 0.000396
0.090000 0.000399 0.000399
0.100000 0.000402 0.000402
0.110000 0.000393 0.000393
0.120000 0.000392 0.000392
0.130000 0.000392 0.000392
0.140000 0.000394 0.000394
0.150000 0.000396 0.000396
0.160000 0.000382 0.000382
0.170000 0.000402 0.000402
0.180000 0.000410 0.000410
0.190000 0.000399 0.000399
0.200000 0.000398 0.000398
0.210000 0.000390 0.000390
0.220000 0.000383 0.000383
0.230000 0.000385 0.000385
0.240000 0.000396 0.000396
0.250000 0.000391 0.000391
0.260000 0.000383 0.000383
0.270000 0.000385 0.000385
0.280000 0.000379 0.000379
0.290000 0.000391 0.000391
0.300000 0.000385 0.000385
0.310000 0.000388 0.000388
0.320000 0.000376 0.000376
0.330000 0.000387 0.000387
0.340000 0.000377 0.000377
0.350000 0.000375 0.000375
0.360000 0.000406 0.000406
0.370000 0.000415 0.000415
0.380000 0.000417 0.000417
0.390000 0.000411 0.000411
0.400000 0.000406 0.000406
0.410000 0.000406 0.000406
0.420000 0.000463 0.000463
0.430000 0.000432 0.000432
0.440000 0.000409 0.000409
0.450000 0.000403 0.000403
0.460000 0.000408 0.000408
0.470000 0.000399 0.000399
0.480000 0.000399 0.000399
0.490000 0.000391 0.000391
0.500000 0.000410 0.000410
0.510000 0.000577 0.000577
0.520000 0.000412 0.000412
0.530000 0.000370 0.000370
0.540000 0.000379 0.000379
0.550000 0.000368 0.000368
0.560000 0.000386 0.000386
0.570000 0.000376 0.000376
0.580000 0.000375 0.000375
0.590000 0.000378 0.000378
0.600000 0.000366 0.000366
0.610000 0.000376 0.000376
0.620000 0.000383 0.000383
0.630000 0.000377 0.000377
0.640000 0.000387 0.000387
0.650000 0.000389 0.000389
0.660000 0.000371 0.000371
0.670000 0.000397 0.000397
0.680000 0.000384 0.000384
0.690000 0.000391 0.000391
0.700000 0.000375 0.000375
0.710000 0.000386 0.000386
0.720000 0.000389 0.000389
0.730000 0.000365 0.000365
0.740000 0.000382 0.000382
0.750000 0.000381 0.000381
0.760000 0.000384 0.000384
0.770000 0.000377 0.000377
0.780000 0.000399 0.000399
0.790000 0.000399 0.000399
0.800000 0.000395 0.000395
0.810000 0.000399 0.000399
0.820000 0.000411 0.000411
0.830000 0.000374 0.000374
0.840000 0.000373 0.000373
0.850000 0.000381 0.000381
0.860000 0.000367 0.000367
0.870000 0.000390 0.000390
0.880000 0.000378 0.000378
0.890000 0.000379 0.000379
0.900000 0.000388 0.000388
0.910000 0.000374 0.000374
0.920000 0.000383 0.000383
0.930000 0.000396 0.000396
0.940000 0.000388 0.000388
0.950000 0.000378 0.000378
0.960000 0.000383 0.000383
0.970000 0.000372 0.000372
0.980000 0.000399 0.000399
0.990000 0.000376 0.000376
1.000000 0.000395 0.000395
1.010000 0.000374 0.000374
1.020000 0.000378 0.000378
1.030000 0.000364 0.000364
1.040000 0.000359 0.000359
1.050000 0.000366 0.000366
1.060000 0.000357 0.000357
1.070000 0.000366 0.000366
1.080000 0.000365 0.000365
1.090000 0.000375 0.000375
1.100000 0.000363 0.000363
1.110000 0.000365 0.000365
1.120000 0.000393 0.000393
1.130000 0.000421 0.000421
1.140000 0.000382 0.000382
1.150000 0.000384 0.000384
1.160000 0.000377 0.000377
1.170000 0.000441 0.000441
1.180000 0.000502 0.000502
1.190000 0.000409 0.000409
1.200000 0.000384 0.000384
1.210000 0.000359 0.000359
1.220000 0.000358 0.000358
1.230000 0.000382 0.000382
1.240000 0.000362 0.000362
1.250000 0.000362 0.000362
1.260000 0.000359 0.000359
1.270000 0.000392 0.000392
1.280000 0.000372 0.000372
1.290000 0.000372 0.000372
1.300000 0.000370 0.000370
1.310000 0.000387 0.000387
1.320000 0.000370 0.000370
1.330000 0.000376 0.000376
1.340000 0.000372 0.000372
1.350000 0.000374 0.000374
1.360000 0.000383 0.000383
1.370000 0.000375 0.000375
1.380000 0.000377 0.000377
1.390000 0.000560 0.000560
1.400000 0.000376 0.000376
1.410000 0.000369 0.000369
1.420000 0.000362 0.000362
1.430000 0.000385 0.000385
1.440000 0.000369 0.000369
1.450000 0.000377 0.000377
1.460000 0.000366 0.000366
1.470000 0.000364 0.000364
1.480000 0.000369 0.000369
1.490000 0.000366 0.000366
1.500000 0.000359 0.000359
1.510000 0.000362 0.000362
1.520000 0.000352 0.000352
1.530000 0.000365 0.000365
1.540000 0.000370 0.000370
1.550000 0.000368 0.000368
1.560000 0.000371 0.000371
1.570000 0.000370 0.000370
1.580000 0.000384 0.000384
1.590000 0.000381 0.000381
1.600000 0.000370 0.000370
1.610000 0.000386 0.000386
1.620000 0.000413 0.000413
1.630000 0.000405 0.000405
1.640000 0.000395 0.000395
1.650000 0.000384 0.000384
1.660000 0.000401 0.000401
1.670000 0.000388 0.000388
1.680000 0.000401 0.000401
1.690000 0.000391 0.000391
1.700000 0.000383 0.000383
1.710000 0.000380 0.000380
1.720000 0.000384 0.000384
1.730000 0.000392 0.000392
1.740000 0.000400 0.000400
1.750000 0.000393 0.000393
1.760000 0.000386 0.000386
1.770000 0.000408 0.000408
1.780000 0.000393 0.000393
1.790000 0.000404 0.000404
1.800000 0.000389 0.000389
1.810000 0.000405 0.000405
1.820000 0.000412 0.000412
1.830000 0.000400 0.000400
1.840000 0.000405 0.000405
1.850000 0.000404 0.000404
1.860000 0.000391 0.000391
1.870000 0.000386 0.000386
1.880000 0.000398 0.000398
1.890000 0.000385 0.000385
1.900000 0.000390 0.000390
1.910000 0.000391 0.000391
1.920000 0.000391 0.000391
1.930000 0.000402 0.000402
1.940000 0.000413 0.000413
1.950000 0.000397 0.000397
1.960000 0.000374 0.000374
1.970000 0.000386 0.000386
1.980000 0.000379 0.000379
1.990000 0.000399 0.000399
2.000000 0.000395 0.000395
2.010000 0.000385 0.000385
2.020000 0.000402 0.000402
2.030000 0.000372 0.000372
2.040000 0.000381 0.000381
2.050000 0.000374 0.000374
2.060000 0.000374 0.000374
2.070000 0.000379 0.000379
2.080000 0.000375 0.000375
2.090000 0.000373 0.000373
2.100000 0.000380 0.000380
2.110000 0.000377 0.000377
2.120000 0.000382 0.000382
2.130000 0.000376 0.000376
2.140000 0.000376 0.000376
2.150000 0.000372 0.000372
2.160000 0.000362 0.000362
2.170000 0.000394 0.000394
2.180000 0.000376 0.000376
2.190000 0.000375 0.000375
2.200000 0.000426 0.000426
2.210000 0.000372 0.000372
2.220000 0.000370 0.000370
2.230000 0.000352 0.000352
2.240000 0.000367 0.000367
2.250000 0.000366 0.000366
2.260000 0.000358 0.000358
2.270000 0.000365 0.000365
2.280000 0.000357 0.000357
2.290000 0.000362 0.000362
2.300000 0.000351 0.000351
2.310000 0.000355 0.000355
2.320000 0.000373 0.000373
2.330000 0.000383 0.000383
2.340000 0.000368 0.000368
2.350000 0.000376 0.000376
2.360000 0.000365 0.000365
2.370000 0.000369 0.000369
2.380000 0.000370 0.000370
2.390000 0.000362 0.000362
2.400000 0.000372 0.000372
2.410000 0.000357 0.000357
2.420000 0.000375 0.000375
2.430000 0.000378 0.000378
2.440000 0.000378 0.000378
2.450000 0.000383 0.000383
2.460000 0.000382 0.000382
2.470000 0.000388 0.000388
2.480000 0.000378 0.000378
2.490000 0.000388 0.000388
2.500000 0.000387 0.000387
2.510000 0.000382 0.000382
2.520000 0.000383 0.000383
2.530000 0.000374 0.000374
2.540000 0.000369 0.000369
2.550000 0.000395 0.000395
2.560000 0.000370 0.000370
2.570000 0.000391 0.000391
2.580000 0.000394 0.000394
2.590000 0.000382 0.000382
2.600000 0.000383 0.000383
2.610000 0.000376 0.000376
2.620000 0.000373 0.000373
2.630000 0.000369 0.000369
2.640000 0.000361 0.000361
2.650000 0.000376 0.000376
2.660000 0.000368 0.000368
2.670000 0.000389 0.000389
2.680000 0.000375 0.000375
2.690000 0.000369 0.000369
2.700000 0.000374 0.000374
2.710000 0.000373 0.000373
2.720000 0.000363 0.000363
2.730000 0.000377 0.000377
2.740000 0.000369 0.000369
2.750000 0.000370 0.000370
2.760000 0.000370 0.000370
2.770000 0.000362 0.000362
2.780000 0.000388 0.000388
2.790000 0.000371 0.000371
2.800000 0.000396 0.000396
2.810000 0.000391 0.000391
